player_name,position,source_season,check_season,source_pff_player_id,grades_offense,grades_run_block,grades_defense,grades_coverage_db,grades_tackle_db,grades_pass_rush,grades_run_defense_dl
Amarion York,CB,2025,2024,184251,60,60,62.9,60,76.2,,
Demarcus Griffin-Taylor,CB,2025,2024,144249,,,69.7,72.5,53.2,56.7,
Diandre Harris,CB,2025,2024,149358,,,58.5,62.8,69,74.7,
Edwin White Schultz,CB,2025,2024,144583,,,65.8,64.8,38.2,91.2,
Jabrae Shaw,CB,2025,2024,172425,,,60,,,,
Jacolby Spells,CB,2025,2024,157358,,,53.1,52.3,46.9,,
Jamier Johnson,CB,2025,2024,144730,,,64.9,66.3,56.8,47.8,
Kameron Pearson,CB,2025,2024,184357,,,60.9,55.8,66.4,60,
KJ Makins,CB,2025,2024,185987,,,70.8,69.6,44.2,,
Leonard Sherrod,CB,2025,2024,196378,,,61,51.3,84,,
Markeith Williams,CB,2025,2024,162738,60,60,63.5,62.6,60.4,75.3,
Markevious Brown,CB,2025,2024,146824,,,71,73.6,61.7,,
Tyrell Mims,CB,2025,2024,142398,60,60,81.2,84.5,70,59.7,
Tyson Durant,CB,2025,2024,130287,,,61,65,59.3,53.2,
Dinellson Exume,DL,2025,2024,183436,,,58.2,,,58.6,59.3
