player_name,position,source_season,check_season,source_pff_player_id,grades_offense,grades_run_block,grades_run_rb,grades_pass_block,grades_pass_route,grades_defense,grades_pass,grades_pass_rush,grades_coverage_db,grades_tackle_db
Albert Kunickis,RB,2025,2024,162844,56.9,60,58.2,,,,,,,
Daniel Coles,RB,2025,2024,196872,58,58.7,54.7,27.5,70.3,,,,,
Derrick Davis,RB,2025,2024,146794,62,54.6,66,75.8,46.8,60,,,,
Domonique Thomas,RB,2025,2024,156226,68.1,51.5,70,65.3,51.9,,,,,
Kylin James,RB,2025,2024,150195,80.2,54.1,83.1,65.4,41.6,,60,,,
Moses Gray,RB,2025,2024,193216,44.8,60,46.5,,56.9,,,,,
Ozarrio Smith,RB,2025,2024,184323,48.3,,57.2,4.8,59.6,,,,,
Pokaiaua Haunga,RB,2025,2024,183768,59.6,56.3,59.7,0,64.2,,,,,
Jared Douglas,S,2025,2024,189837,,,,,,64.1,,59,61.9,73.4
Andrew Savaiinaea,TE,2025,2024,157732,42.6,53.6,,54.8,42.9,,,,,
Parker Olthoff,TE,2025,2024,160505,48,50.7,,73.6,46.8,,,,,
AJ Barber,WR,2025,2024,155366,64.5,52.1,73.4,,64,60,,,,
Alfred Jordan,WR,2025,2024,175120,55.2,61.3,,63.9,54.9,,,,,
