player_name,position,source_season,check_season,source_pff_player_id,grades_defense,grades_run_defense_dl,grades_pass_rush,grades_coverage_lb,grades_tackle,grades_run_defense_lb,grades_offense,grades_run_block
Donovan Nevils,DL,2025,2024,125726,60.4,60,,,,,,
Javen Johnson,DL,2025,2024,165429,77.5,75.5,76.5,,,,,
Jaxon Lee,DL,2025,2024,143712,73.8,71.7,68.6,,,,,
Iliyas Fuavai,EDGE,2025,2024,163559,64.6,64.1,59.7,,,,,
Jayshawn Ross,EDGE,2025,2024,184546,74.7,60,74.7,,,,,
Josh Dorsainvil,EDGE,2025,2024,181336,59.3,60,59.2,,,,,
Lawrence Falatea,EDGE,2025,2024,146520,54.3,48,62.7,,,,,
Whitefield Powell,EDGE,2025,2024,176327,60.7,60,,,,,,
Carson Dean,LB,2025,2024,172403,65.9,,,62.9,73.2,,,
Darius Thomas,LB,2025,2024,163056,50,,77.4,57.6,66.8,38.1,,
Devyn Curtis,LB,2025,2024,121800,50.7,,53.5,47.2,63.5,58.9,,
Donelius Johnson,LB,2025,2024,160380,76.6,,67.9,59.6,85.9,81.5,,
Jackson Hamilton,LB,2025,2024,144157,53.4,,49.3,49,58.7,63.8,,
JJ Okate,LB,2025,2024,193137,36.6,,66.3,55.5,42.8,29.6,,
Jordan Shuler,LB,2025,2024,186444,53.1,,,,73.6,55.3,,
Mihalis Santorineos,LB,2025,2024,171563,41.2,,,61,73.1,38.7,,
Ty Howard,LB,2025,2024,161224,73.4,,65.7,70.4,86.8,75.2,,
Adrian Griffin,OL,2025,2024,172307,,,,,,,59.9,59.5
