player_name,position,source_season,check_season,source_pff_player_id,grades_offense,grades_run_block,grades_defense,grades_coverage_db,grades_tackle_db,grades_pass_rush,grades_run_defense_dl,grades_coverage_lb,grades_tackle,grades_run_defense_lb,grades_pass_block,grades_pass,grades_run_rb,grades_pass_route
Amarion York,CB,2025,2024,184251,60,60,62.9,60,76.2,,,,,,,,,
Demarcus Griffin-Taylor,CB,2025,2024,144249,,,69.7,72.5,53.2,56.7,,,,,,,,
Diandre Harris,CB,2025,2024,149358,,,58.5,62.8,69,74.7,,,,,,,,
Edwin White Schultz,CB,2025,2024,144583,,,65.8,64.8,38.2,91.2,,,,,,,,
Jabrae Shaw,CB,2025,2024,172425,,,60,,,,,,,,,,,
Jacolby Spells,CB,2025,2024,157358,,,53.1,52.3,46.9,,,,,,,,,
Jamier Johnson,CB,2025,2024,144730,,,64.9,66.3,56.8,47.8,,,,,,,,
Kameron Pearson,CB,2025,2024,184357,,,60.9,55.8,66.4,60,,,,,,,,
KJ Makins,CB,2025,2024,185987,,,70.8,69.6,44.2,,,,,,,,,
Leonard Sherrod,CB,2025,2024,196378,,,61,51.3,84,,,,,,,,,
Markeith Williams,CB,2025,2024,162738,60,60,63.5,62.6,60.4,75.3,,,,,,,,
Markevious Brown,CB,2025,2024,146824,,,71,73.6,61.7,,,,,,,,,
Tyrell Mims,CB,2025,2024,142398,60,60,81.2,84.5,70,59.7,,,,,,,,
Tyson Durant,CB,2025,2024,130287,,,61,65,59.3,53.2,,,,,,,,
Dinellson Exume,DL,2025,2024,183436,,,58.2,,,58.6,59.3,,,,,,,
Donovan Nevils,DL,2025,2024,125726,,,60.4,,,,60,,,,,,,
Javen Johnson,DL,2025,2024,165429,,,77.5,,,76.5,75.5,,,,,,,
Jaxon Lee,DL,2025,2024,143712,,,73.8,,,68.6,71.7,,,,,,,
Iliyas Fuavai,EDGE,2025,2024,163559,,,64.6,,,59.7,64.1,,,,,,,
Jayshawn Ross,EDGE,2025,2024,184546,,,74.7,,,74.7,60,,,,,,,
Josh Dorsainvil,EDGE,2025,2024,181336,,,59.3,,,59.2,60,,,,,,,
Lawrence Falatea,EDGE,2025,2024,146520,,,54.3,,,62.7,48,,,,,,,
Whitefield Powell,EDGE,2025,2024,176327,,,60.7,,,,60,,,,,,,
Carson Dean,LB,2025,2024,172403,,,65.9,,,,,62.9,73.2,,,,,
Darius Thomas,LB,2025,2024,163056,,,50,,,77.4,,57.6,66.8,38.1,,,,
Devyn Curtis,LB,2025,2024,121800,,,50.7,,,53.5,,47.2,63.5,58.9,,,,
Donelius Johnson,LB,2025,2024,160380,,,76.6,,,67.9,,59.6,85.9,81.5,,,,
Jackson Hamilton,LB,2025,2024,144157,,,53.4,,,49.3,,49,58.7,63.8,,,,
JJ Okate,LB,2025,2024,193137,,,36.6,,,66.3,,55.5,42.8,29.6,,,,
Jordan Shuler,LB,2025,2024,186444,,,53.1,,,,,,73.6,55.3,,,,
Mihalis Santorineos,LB,2025,2024,171563,,,41.2,,,,,61,73.1,38.7,,,,
Ty Howard,LB,2025,2024,161224,,,73.4,,,65.7,,70.4,86.8,75.2,,,,
Adrian Griffin,OL,2025,2024,172307,59.9,59.5,,,,,,,,,,,,
Aidan Johnson,OL,2025,2024,176114,80.3,79.1,,,,,,,,,,,,
Bo Blanchard,OL,2025,2024,156550,60,60,,,,,,,,,,,,
Cal Grubbs,OL,2025,2024,174932,76.6,74,,,,,,,,,60.6,,,
Cooper Lovelace,OL,2025,2024,158460,61.4,67.3,,,,,,,,,55.2,,,
George Silva,OL,2025,2024,174129,51.7,55.1,,,,,,,,,25,,,
Isaac Rue,OL,2025,2024,170489,49.2,44,,,,,,,,,58.1,,,
Jack Hasz,OL,2025,2024,145666,62.7,59.6,,,,,,,,,78.2,,,
Jakiah Leftwich,OL,2025,2024,143921,61.6,60.9,,,,,,,,,58.5,,,
Kyndall McKenzie,OL,2025,2024,162527,68.3,67.8,,,,,,,,,,,,
Mathyus Su'a,OL,2025,2024,134899,67.2,67.5,,,,,,,,,69.8,,,
Ni Mansell,OL,2025,2024,129559,54.7,54.5,,,,,,,,,67,,,
Paul Tchio,OL,2025,2024,122160,59.7,60,,,,,,,,,33.5,,,
David Lynch,QB,2025,2024,170120,39.6,60,,,,,,,,,,40,56.3,
Emmett Brown,QB,2025,2024,157344,71.5,60,,,,,,,,,,69.9,66.1,54.6
Grady Brosterhous,QB,2025,2024,156379,76.4,60,,,,,,,,,,,70.1,
Kasen Weisman,QB,2025,2024,171910,57.7,60,,,,,,,,,,59.2,55.8,
Albert Kunickis,RB,2025,2024,162844,56.9,60,,,,,,,,,,,58.2,
Daniel Coles,RB,2025,2024,196872,58,58.7,,,,,,,,,27.5,,54.7,70.3
Derrick Davis,RB,2025,2024,146794,62,54.6,60,,,,,,,,75.8,,66,46.8
Domonique Thomas,RB,2025,2024,156226,68.1,51.5,,,,,,,,,65.3,,70,51.9
Kylin James,RB,2025,2024,150195,80.2,54.1,,,,,,,,,65.4,60,83.1,41.6
Moses Gray,RB,2025,2024,193216,44.8,60,,,,,,,,,,,46.5,56.9
Ozarrio Smith,RB,2025,2024,184323,48.3,,,,,,,,,,4.8,,57.2,59.6
Pokaiaua Haunga,RB,2025,2024,183768,59.6,56.3,,,,,,,,,0,,59.7,64.2
Jared Douglas,S,2025,2024,189837,,,64.1,61.9,73.4,59,,,,,,,,
Andrew Savaiinaea,TE,2025,2024,157732,42.6,53.6,,,,,,,,,54.8,,,42.9
Parker Olthoff,TE,2025,2024,160505,48,50.7,,,,,,,,,73.6,,,46.8
AJ Barber,WR,2025,2024,155366,64.5,52.1,60,,,,,,,,,,73.4,64
Alfred Jordan,WR,2025,2024,175120,55.2,61.3,,,,,,,,,63.9,,,54.9
Mac Owen,WR,2025,2024,163663,58.2,60.2,,,,,,,,,,,,59.3
Mitchell January,WR,2025,2024,160496,65.4,59.9,60,,,,,,,,,,63.2,66.5
Paul Billups,WR,2025,2024,170101,51.4,45.3,,,,,,,,,,,,52.8
Zeed Haynes,WR,2025,2024,173532,60.1,62.8,,,,,,,,,,,62.7,58.8
